1,1896,12.00,22752.0,3.5948
2,1900,11.00,20900.0,3.6100
3,1904,11.00,20944.0,3.6252
4,1906,11.20,21347.2,3.6328
5,1908,10.80,20606.4,3.6405
6,1912,10.80,20649.6,3.6557
7,1920,10.80,20736.0,3.6864
8,1924,10.60,20394.4,3.7018
9,1928,10.80,20822.4,3.7172
10,1932,10.30,20064.4,3.7947
11,1936,10.30,19940.8,3.7481
12,1948,10.30,20064.4,3.7947
13,1952,10.40,20300.8,3.8103
14,1956,10.50,20538.0,3.8259
15,1960,10.20,19992.0,3.8259
16,1964,10.00,19640.0,3.8573
17,1968,9.95,19581.6,3.8730
18,1972,10.14,19996.1,3.8888
19,1976,10.06,19878.6,3.9046
20,1980,10.25,20295.0,3.9204
21,1984,9.99,19820.2,3.9363
22,1988,9.92,19721.0,3.9521
